,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),1,0.0,False,brightness,"[[155.17888, 102.811485, 180.28995, 121.74541], [155.17888, 102.811485, 180.28995, 121.74541]]","[155.17888, 102.811485, 180.28995, 121.74541]","[155.17888, 102.811485, 180.28995, 121.74541]",[154.77124 102.09064 180.18301 120.9426 ],0.4301891326904297,0.011316061019897461,"[0.9046069211142195, 0.9046069211142195]",7.081031799316406e-05,"[0.9046069383621216, 0.90460694]",0.009119987487792969
1,backward (CROWN),1,0.002,False,brightness,"[[154.60437, 102.53485, 179.56694, 121.3811], [155.76324, 103.10214, 181.02534, 122.12671]]","[155.76324, 103.10214, 181.02534, 122.12671]","[154.60437, 102.53485, 179.56694, 121.3811]",[154.77124 102.09064 180.18301 120.9426 ],3.4245080947875977,0.009916067123413086,"[0.7423903039247676, 1]",6.079673767089844e-05,"[0.831407904624939, 0.9542407]",0.00806117057800293
2,backward (CROWN),1,0.004,False,brightness,"[[153.93146, 102.2357, 178.74521, 120.98955], [156.5405, 103.46641, 181.94795, 122.5918]]","[156.5405, 103.46641, 181.94795, 122.5918]","[153.93146, 102.2357, 178.74521, 120.98955]",[154.77124 102.09064 180.18301 120.9426 ],4.955245018005371,0.009593963623046875,"[0.5867915628054922, 1]",6.103515625e-05,"[0.7487768530845642, 0.98983985]",0.007771730422973633
3,backward (CROWN),1,0.006,False,brightness,"[[153.15198, 101.92059, 177.81055, 120.57412], [157.64682, 103.933655, 183.20537, 123.17109]]","[157.64682, 103.933655, 183.20537, 123.17109]","[153.15198, 101.92059, 177.81055, 120.57412]",[154.77124 102.09064 180.18301 120.9426 ],5.484351873397827,0.009592056274414062,"[0.42897403660061645, 1]",6.008148193359375e-05,"[0.6525365710258484, 1.0]",0.007771968841552734
4,backward (CROWN),1,0.008,False,brightness,"[[152.20201, 101.556625, 176.69841, 120.09935], [159.10977, 104.53174, 184.81715, 123.89086]]","[159.10977, 104.53174, 184.81715, 123.89086]","[152.20201, 101.556625, 176.69841, 120.09935]",[154.77124 102.09064 180.18301 120.9426 ],5.942293882369995,0.010745048522949219,"[0.29326129393228756, 1]",7.200241088867188e-05,"[0.543671190738678, 1.0]",0.008675098419189453
5,backward (CROWN),1,0.01,False,brightness,"[[150.89082, 101.085365, 175.2177, 119.497055], [160.85265, 105.26429, 186.69737, 124.726036]]","[160.85265, 105.26429, 186.69737, 124.726036]","[150.89082, 101.085365, 175.2177, 119.497055]",[154.77124 102.09064 180.18301 120.9426 ],7.1273298263549805,0.009903192520141602,"[0.18236976640771008, 1]",6.413459777832031e-05,"[0.4222254157066345, 1.0]",0.007967233657836914
6,backward (CROWN),1,0.012,False,brightness,"[[149.18866, 100.45978, 173.33412, 118.79139], [163.31316, 106.20875, 189.51689, 125.75504]]","[163.31316, 106.20875, 189.51689, 125.75504]","[149.18866, 100.45978, 173.33412, 118.79139]",[154.77124 102.09064 180.18301 120.9426 ],7.575395107269287,0.010864973068237305,"[0.09182988117060419, 1]",7.176399230957031e-05,"[0.2632024586200714, 1.0]",0.008728265762329102
7,backward (CROWN),1,0.014,False,brightness,"[[146.98065, 99.697, 170.88512, 117.98019], [167.20807, 107.58783, 194.01093, 127.24188]]","[167.20807, 107.58783, 194.01093, 127.24188]","[146.98065, 99.697, 170.88512, 117.98019]",[154.77124 102.09064 180.18301 120.9426 ],8.241420984268188,0.009857654571533203,"[0.022008505572810005, 1]",6.699562072753906e-05,"[0.07976674288511276, 1.0]",0.007954835891723633
8,backward (CROWN),1,0.016,True,brightness,"[[143.68828, 98.62356, 167.31693, 116.831276], [172.6945, 109.54148, 200.36014, 129.37495]]","[172.6945, 109.54148, 200.36014, 129.37495]","[143.68828, 98.62356, 167.31693, 116.831276]",[154.77124 102.09064 180.18301 120.9426 ],8.839875936508179,0.0013837814331054688,"[0, 1]",0.0,"[0, 1]",0.0
9,backward (CROWN),1,0.018000000000000002,True,brightness,"[[138.701, 97.22971, 161.87643, 115.32917], [179.18593, 112.07219, 207.93338, 132.05714]]","[179.18593, 112.07219, 207.93338, 132.05714]","[138.701, 97.22971, 161.87643, 115.32917]",[154.77124 102.09064 180.18301 120.9426 ],9.829303741455078,0.0013799667358398438,"[0, 1]",0.0,"[0, 1]",0.0
10,backward (CROWN),1,0.02,True,brightness,"[[131.12175, 95.69261, 154.74255, 113.60463], [186.78198, 115.24075, 216.60048, 135.32626]]","[186.78198, 115.24075, 216.60048, 135.32626]","[131.12175, 95.69261, 154.74255, 113.60463]",[154.77124 102.09064 180.18301 120.9426 ],11.48860216140747,0.001867055892944336,"[0, 1]",0.0,"[0, 1]",0.0
